area,temperature,ndvi
mid-manhattan west,A,1
mid-manhattan west,A,1
mid-manhattan west,A,2
mid-manhattan west,A,1
mid-manhattan west,A,1
mid-manhattan west,A,1
mid-manhattan west,A,1
mid-manhattan west,A,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,2
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,1
mid-manhattan west,B,3
mid-manhattan west,B,3
mid-manhattan west,B,3
mid-manhattan west,B,3
mid-manhattan west,B,3
mid-manhattan west,C,3
mid-manhattan west,C,3
mid-manhattan west,C,3
mid-manhattan west,C,3
mid-manhattan west,C,3
mid-manhattan west,C,3
mid-manhattan west,C,3
mid-manhattan west,C,3
mid-manhattan west,C,3
mid-manhattan west,C,2
mid-manhattan west,C,2
mid-manhattan west,C,2
mid-manhattan west,C,2
mid-manhattan west,C,2
mid-manhattan west,C,2
mid-manhattan west,C,2
mid-manhattan west,C,2
mid-manhattan west,C,2
mid-manhattan west,C,4
mid-manhattan west,C,4
mid-manhattan west,C,4
mid-manhattan west,C,4
mid-manhattan west,C,4
mid-manhattan west,C,4
